外出する　自3,外出
頼む  他1,请求，恳求
引っ越す　自1,搬家
増える   自2,增加
遠い  イ形,远的
賑やか  ナ形,热闹的
コーヒー   Ｎ,咖啡
入れる  他2,装进，放入
話し合う  自1,谈话，商量
病気  Ｎ,生病
続ける  他2,继续，持续
スピード  Ｎ,速度
急に  副,忽然，突然
後ろ    Ｎ,后面，后方
声をかける,打招呼
びっくり 副  自3,吃惊，受惊
優しい  イ形,温柔的，和善的
言葉   Ｎ,言语，话语
分かる  自1,知道，理解，明白
葉書　Ｎ,明信片
喋る  自他1,说，讲
身につく,掌握，学会
どんどん,一个劲儿，连续不断，旺盛，茁壮
減る 自1,减少
守る 他1,守护，遵守
与える  他2,给予，给与
影響がある,有影响
知らず知らず　副,不知不觉、不无形中
いわゆる,所谓的、所说的
ビル  Ｎ,高楼，大厦
立ち並ぶ 自1,排列
と同時に,几乎与此同时
通る  自1,通过，走过
チャンスを奪う,剥夺机会
年を追う,逐年
関税をかける,征收关税
落ちる  自2,掉落，落下
防ぐ 他1,防止
年を追う,逐年
それだけに～,正因为如此～
なるべく副,尽可能
